"filename", "language", "PHP", "JSON", "Markdown", "YAML", "comment", "blank", "total"
"c:\laragon\www\equizzy\vendor\autoload.php", "PHP", -20, 0, 0, 0, -1, -5, -26
"c:\laragon\www\equizzy\vendor\composer\ClassLoader.php", "PHP", -276, 0, 0, 0, -240, -57, -573
"c:\laragon\www\equizzy\vendor\composer\InstalledVersions.php", "PHP", -174, 0, 0, 0, -131, -48, -353
"c:\laragon\www\equizzy\vendor\composer\autoload_classmap.php", "PHP", -11, 0, 0, 0, -1, -4, -16
"c:\laragon\www\equizzy\vendor\composer\autoload_files.php", "PHP", -10, 0, 0, 0, -1, -4, -15
"c:\laragon\www\equizzy\vendor\composer\autoload_namespaces.php", "PHP", -5, 0, 0, 0, -1, -4, -10
"c:\laragon\www\equizzy\vendor\composer\autoload_psr4.php", "PHP", -18, 0, 0, 0, -1, -4, -23
"c:\laragon\www\equizzy\vendor\composer\autoload_real.php", "PHP", -36, 0, 0, 0, -9, -13, -58
"c:\laragon\www\equizzy\vendor\composer\autoload_static.php", "PHP", -118, 0, 0, 0, -1, -9, -128
"c:\laragon\www\equizzy\vendor\composer\installed.json", "JSON", 0, -782, 0, 0, 0, -1, -783
"c:\laragon\www\equizzy\vendor\composer\installed.php", "PHP", -119, 0, 0, 0, 0, -1, -120
"c:\laragon\www\equizzy\vendor\composer\platform_check.php", "PHP", -21, 0, 0, 0, -1, -5, -27
"c:\laragon\www\equizzy\vendor\graham-campbell\result-type\composer.json", "JSON", 0, -33, 0, 0, 0, -1, -34
"c:\laragon\www\equizzy\vendor\graham-campbell\result-type\src\Error.php", "PHP", -37, 0, 0, 0, -71, -13, -121
"c:\laragon\www\equizzy\vendor\graham-campbell\result-type\src\Result.php", "PHP", -11, 0, 0, 0, -50, -9, -70
"c:\laragon\www\equizzy\vendor\graham-campbell\result-type\src\Success.php", "PHP", -37, 0, 0, 0, -70, -13, -120
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\.github\FUNDING.yml", "YAML", 0, 0, 0, -2, 0, -1, -3
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\.github\stale.yml", "YAML", 0, 0, 0, -11, -3, -1, -15
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\.github\workflows\ci.yml", "YAML", 0, 0, 0, -27, 0, -8, -35
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\.github\workflows\integration.yml", "YAML", 0, 0, 0, -29, 0, -9, -38
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\.github\workflows\static.yml", "YAML", 0, 0, 0, -22, 0, -8, -30
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\CHANGELOG.md", "Markdown", 0, 0, -192, 0, 0, -127, -319
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\README.md", "Markdown", 0, 0, -520, 0, 0, -325, -845
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\composer.json", "JSON", 0, -76, 0, 0, 0, -1, -77
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\AppendStream.php", "PHP", -152, 0, 0, 0, -54, -41, -247
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\BufferStream.php", "PHP", -90, 0, 0, 0, -26, -27, -143
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\CachingStream.php", "PHP", -93, 0, 0, 0, -30, -25, -148
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\DroppingStream.php", "PHP", -24, 0, 0, 0, -12, -10, -46
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\FnStream.php", "PHP", -99, 0, 0, 0, -38, -27, -164
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\Header.php", "PHP", -46, 0, 0, 0, -18, -8, -72
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\InflateStream.php", "PHP", -27, 0, 0, 0, -22, -8, -57
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\LazyOpenStream.php", "PHP", -18, 0, 0, 0, -17, -8, -43
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\LimitStream.php", "PHP", -88, 0, 0, 0, -47, -23, -158
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\Message.php", "PHP", -144, 0, 0, 0, -70, -39, -253
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\MessageTrait.php", "PHP", -168, 0, 0, 0, -60, -43, -271
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\MimeType.php", "PHP", -119, 0, 0, 0, -16, -6, -141
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\MultipartStream.php", "PHP", -98, 0, 0, 0, -36, -25, -159
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\NoSeekStream.php", "PHP", -15, 0, 0, 0, -5, -6, -26
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\PumpStream.php", "PHP", -114, 0, 0, 0, -27, -30, -171
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\Query.php", "PHP", -76, 0, 0, 0, -27, -11, -114
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\Request.php", "PHP", -110, 0, 0, 0, -15, -28, -153
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\Response.php", "PHP", -125, 0, 0, 0, -13, -18, -156
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\Rfc7230.php", "PHP", -7, 0, 0, 0, -10, -3, -20
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\ServerRequest.php", "PHP", -203, 0, 0, 0, -123, -54, -380
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\Stream.php", "PHP", -192, 0, 0, 0, -32, -47, -271
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\StreamDecoratorTrait.php", "PHP", -96, 0, 0, 0, -33, -24, -153
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\StreamWrapper.php", "PHP", -113, 0, 0, 0, -27, -26, -166
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\UploadedFile.php", "PHP", -170, 0, 0, 0, -118, -41, -329
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\Uri.php", "PHP", -419, 0, 0, 0, -280, -112, -811
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\UriComparator.php", "PHP", -30, 0, 0, 0, -15, -11, -56
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\UriNormalizer.php", "PHP", -80, 0, 0, 0, -111, -29, -220
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\UriResolver.php", "PHP", -128, 0, 0, 0, -70, -25, -223
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\Utils.php", "PHP", -240, 0, 0, 0, -144, -45, -429
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\functions.php", "PHP", -94, 0, 0, 0, -304, -25, -423
"c:\laragon\www\equizzy\vendor\guzzlehttp\psr7\src\functions_include.php", "PHP", -4, 0, 0, 0, -1, -2, -7
"c:\laragon\www\equizzy\vendor\intervention\image\composer.json", "JSON", 0, -47, 0, 0, 0, -1, -48
"c:\laragon\www\equizzy\vendor\intervention\image\provides.json", "JSON", 0, -11, 0, 0, 0, -1, -12
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\AbstractColor.php", "PHP", -99, 0, 0, 0, -95, -36, -230
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\AbstractDecoder.php", "PHP", -176, 0, 0, 0, -125, -59, -360
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\AbstractDriver.php", "PHP", -51, 0, 0, 0, -67, -19, -137
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\AbstractEncoder.php", "PHP", -124, 0, 0, 0, -83, -38, -245
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\AbstractFont.php", "PHP", -92, 0, 0, 0, -140, -36, -268
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\AbstractShape.php", "PHP", -22, 0, 0, 0, -41, -9, -72
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Commands\AbstractCommand.php", "PHP", -29, 0, 0, 0, -42, -11, -82
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Commands\Argument.php", "PHP", -135, 0, 0, 0, -58, -33, -226
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Commands\ChecksumCommand.php", "PHP", -17, 0, 0, 0, -6, -7, -30
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Commands\CircleCommand.php", "PHP", -21, 0, 0, 0, -6, -9, -36
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Commands\EllipseCommand.php", "PHP", -22, 0, 0, 0, -6, -9, -37
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Commands\ExifCommand.php", "PHP", -33, 0, 0, 0, -10, -9, -52
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Commands\IptcCommand.php", "PHP", -49, 0, 0, 0, -6, -12, -67
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Commands\LineCommand.php", "PHP", -22, 0, 0, 0, -6, -9, -37
