"filename", "language", "PHP", "JavaScript", "SCSS", "JSON", "XML", "CSS", "SQL", "comment", "blank", "total"
"c:\laragon\www\equizzy\Router.php", "PHP", 93, 0, 0, 0, 0, 0, 0, 13, 19, 125
"c:\laragon\www\equizzy\composer.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"c:\laragon\www\equizzy\composer.lock", "JSON", 0, 0, 0, 765, 0, 0, 0, 0, 1, 766
"c:\laragon\www\equizzy\controllers\AdminController.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 9, 21
"c:\laragon\www\equizzy\controllers\CategoryPollController.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 3, 27, 86
"c:\laragon\www\equizzy\controllers\IndexController.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 1, 10, 31
"c:\laragon\www\equizzy\controllers\LoginController.php", "PHP", 71, 0, 0, 0, 0, 0, 0, 4, 49, 124
"c:\laragon\www\equizzy\controllers\OptionController.php", "PHP", 74, 0, 0, 0, 0, 0, 0, 0, 57, 131
"c:\laragon\www\equizzy\controllers\PollsController.php", "PHP", 185, 0, 0, 0, 0, 0, 0, 19, 114, 318
"c:\laragon\www\equizzy\controllers\PublicPollsController.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 8, 54, 141
"c:\laragon\www\equizzy\controllers\QuestionController.php", "PHP", 89, 0, 0, 0, 0, 0, 0, 0, 52, 141
"c:\laragon\www\equizzy\controllers\UserController.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 8, 20
"c:\laragon\www\equizzy\equizzy.sql", "SQL", 0, 0, 0, 0, 0, 0, 82, 25, 17, 124
"c:\laragon\www\equizzy\gulpfile.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 1, 10, 73
"c:\laragon\www\equizzy\includes\app.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 2, 5, 16
"c:\laragon\www\equizzy\includes\database.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\laragon\www\equizzy\includes\functions.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 1, 3, 20
"c:\laragon\www\equizzy\models\ActiveRecord.php", "PHP", 170, 0, 0, 0, 0, 0, 0, 37, 41, 248
"c:\laragon\www\equizzy\models\Answer.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\laragon\www\equizzy\models\CategoryPolls.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 13, 37
"c:\laragon\www\equizzy\models\Option.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 7, 25
"c:\laragon\www\equizzy\models\Poll.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 21, 72
"c:\laragon\www\equizzy\models\Question.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 10, 29
"c:\laragon\www\equizzy\models\RatePolls.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 9, 23
"c:\laragon\www\equizzy\models\User.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 26, 85
"c:\laragon\www\equizzy\package-lock.json", "JSON", 0, 0, 0, 14542, 0, 0, 0, 0, 1, 14543
"c:\laragon\www\equizzy\package.json", "JSON", 0, 0, 0, 33, 0, 0, 0, 0, 1, 34
"c:\laragon\www\equizzy\public\build\css\app.css", "CSS", 0, 0, 0, 0, 0, 1778, 0, 131, 105, 2014
"c:\laragon\www\equizzy\public\build\img\EquizzyAppIcon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\laragon\www\equizzy\public\build\img\createPoll.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\public\build\img\undraw_about.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\public\build\img\undraw_analitics.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\public\build\img\undraw_createPoll.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\public\build\js\answers\chart.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\public\build\js\answers\getAnswers.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 9, 17, 75
"c:\laragon\www\equizzy\public\build\js\answers\rate-poll.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\laragon\www\equizzy\public\build\js\answers\ratePoll.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 25, 64
"c:\laragon\www\equizzy\public\build\js\app.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 10, 28, 94
"c:\laragon\www\equizzy\public\build\js\crudOptionPolls\createOption.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 13, 51
"c:\laragon\www\equizzy\public\build\js\crudOptionPolls\deleteOption.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 9, 28
"c:\laragon\www\equizzy\public\build\js\crudOptionPolls\editOption.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 9, 40
"c:\laragon\www\equizzy\public\build\js\crudOptionPolls\listOption.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 2, 16, 42
"c:\laragon\www\equizzy\public\build\js\crudOptionsQuestion\createOption.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\laragon\www\equizzy\public\build\js\crudQuestionPolls\createQuestion.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 2, 6, 43
"c:\laragon\www\equizzy\public\build\js\crudQuestionPolls\deleteQuestion.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"c:\laragon\www\equizzy\public\build\js\crudQuestionPolls\editQuestion.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 18, 72
"c:\laragon\www\equizzy\public\build\js\crudQuestionPolls\menuOptionsQuestions.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 7, 27, 72
"c:\laragon\www\equizzy\public\build\js\crudQuestionPolls\questionEventManager.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 10, 27, 75
"c:\laragon\www\equizzy\public\build\js\crudQuestionPolls\questionManager.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 10, 27, 75
"c:\laragon\www\equizzy\public\build\js\indexPollsCarrousel.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\laragon\www\equizzy\public\build\js\menuOptionsMyPolls.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\public\build\js\navbarHome.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 1, 2, 16
"c:\laragon\www\equizzy\public\build\js\navbarPollsResponsive.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\laragon\www\equizzy\public\build\js\polls\changePollVisibility.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 2, 17, 54
"c:\laragon\www\equizzy\public\build\js\polls\menuOptionsMyPolls.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\laragon\www\equizzy\public\build\js\polls\menuOptionsQuestions.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 5, 19, 52
"c:\laragon\www\equizzy\public\build\js\polls\ocultActiveMenusListener.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\public\build\js\polls\textAreaCounter.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\laragon\www\equizzy\public\build\js\principalPollsCarrousel.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\laragon\www\equizzy\public\index.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 16, 17, 84
"c:\laragon\www\equizzy\src\img\createPoll.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\src\img\undraw_about.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\src\img\undraw_analitics.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\src\img\undraw_createPoll.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\src\js\answers\getAnswers.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 9, 17, 75
"c:\laragon\www\equizzy\src\js\answers\ratePoll.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 25, 64
"c:\laragon\www\equizzy\src\js\app.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 10, 28, 94
"c:\laragon\www\equizzy\src\js\crudOptionPolls\createOption.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 13, 51
